comments;source;label
fokus piala presiden kekny;tiktok;negative
emyu cocoknya main di liga aja dah;tiktok;negative
sudah bisa di pastikan degradasi gk sih di musim depan;tiktok;negative
ya puasa gelar;tiktok;negative
happy banget cuma di keberuntungan datang terus;youtube;positive
mu ni kalau lawan dengan smk semarak pun belum tentu menang;tiktok;negative
dah pusing satu kuala lumpur jumpa peminat lah kalah kasian deh lo;tiktok;negative
lucu sekali padahal tim baru dibentuk yang pasti mereka tidak saling kenal ini bukti kalo mu sekarang harus di bentuk ulang;youtube;negative
main di liga aja si mu;tiktok;negative
tag daeng rukka dulu;tiktok;neutral
mu harus tetap ada tim yg sangat menghibur;tiktok;negative
kahsian;tiktok;negative
kalah menang itu adat tapi kalo kalah terus itu mu;tiktok;negative
buatdah grup ini club bagus mainnya;youtube;neutral
hahahah manchester united masuk gua;tiktok;negative
abg kyle ini aku yang photo sama abg di stadium yang bilang ggmanu;tiktok;neutral
luar biasa goa di indonesia sudah dipenuhi fans munyuk;youtube;negative
salam dari malaysia;tiktok;neutral
keterlaluaaan mu ini mau bikin fans nya mogok makan kali yaaaa;tiktok;negative
malah kalah sama tim cabut lot tiap negara;tiktok;negative
asean all stars menyelamatkan dunia dari kebrisikan;tiktok;negative
makan tuh nasimu bubar aja tidak pantas jadi club europa;tiktok;negative
bubarin aja tu club;tiktok;negative
aib sepak bola eropa;youtube;negative
sruh mu main ngan budak ja;tiktok;negative
apakah mu kalah karena ngalah apa kalah beneran;tiktok;positive
niat hati pngen cari tropy hiburan ehhh mlh dpat luka tambahan;tiktok;negative
kalah menang itu hal yng wajar tapi kalau mu menang itu tidak wajar;tiktok;negative
kalah menang hal yg wajar tpi klo gk pernah menang wajar gk sih;tiktok;negative
masih ada piala presiden nyuk daftar;tiktok;negative
direktur reskrimum polda jambi pak masih bisa makan kan;tiktok;neutral
bahkan di asean aja mereka ga bisa angkat piala wkahahahaha;tiktok;negative
bun dikkdi ayam ayamin king asean menang asean all star;tiktok;negative
cuma main oper oper doang di belakang gak ada nyerang nyerangnya tuh emyukocak stres gw harus gimana lagiharusnya pemain intinya dimainin juga;tiktok;negative
apalagi kalo pemain timnas indonesia mau di panggil;tiktok;negative
hahahah kok klahh;tiktok;negative
persib bandung lebih baik dari mu;youtube;negative
jangnam;tiktok;neutral
sudah tak bisa di selamatkan;tiktok;negative
kalah sama pemain pemain cadangan asean yg baru kumpul hadeuh mu mu;tiktok;negative
emyu ga serius mainnyagame settingan biar pamor asean naikpolitik aff buahahaha;youtube;positive
gol nya hilsn dimakan hantu;youtube;neutral
