User,komentar,tipe,sumber
Red raven,"Cb diturunin lg skala nya dr asean ke timnas,, klo emyu msh kalah jg cb diturunin lg smpe kesebelasan skala erte,,, wekekekekek",utama,detik
Fufufafa Gnarly,Malu maluin aja MU,utama,detik
Petromaxs,Bisa2 kalah juga lawan timnas timor leste,utama,detik
Zhuge Liang,Mainnya ga serius takut kena cedera parah ditekel pemain tarkam dari ASEAN.. hahaha,utama,detik
Hirauki,"Coba liat hasil tour pra musim sampai berakhir, kalah semuanya , kurang niat bermain , cuman sebatas lembur cari pemasukan buat club , karna musim depan nihil pemasukan",utama,detik
MUBadut Berprestasi,MU bukan kaleng-kaleng...tapi udah level keresek tipis. wkkwkkk,utama,detik
Pancalima,Asli makin kesini makin kesono lawakan nya,utama,detik
Satria Badja Ringan,Levelnya mungkin kecamatan.,utama,detik
Klub Lawak,Level mediokernya sudah melebihi batas,utama,detik
Panji Kumbara,Indonesia hanya 2 pemain ya...,utama,detik
Sinto Wijaya,MU kalau begini mah layak masuk Liga Tarkam Indonesia IV,utama,detik
Captain Pulisic,Cocoknya emyu main tarkam RW 7 Rawamangun,utama,detik
Susilo Broto,"Kayaknya MU imbang kalo duel dg PSIS Semarang,",utama,detik
Maulana Yusuf,Bahkan klo d suruh main d liga 1 mungkin bakal kalah. ,utama,detik
Madoka Chan,Bikin ngakaaakkk yaaa nyyuuukkk ,utama,detik
Vinicius,Madoka Chan Lebih ngakak tim netflix. Ngaku2 tim terbaik liga champions. Tim badut eropa. ,balasan,detik
Sodick,Yahh ga jd pawai dahhh... ,utama,detik
Ab,"Berita macam apa ini, kawan admin? Next tidak usah ditayangin lagi krn merusak fungsi hati dan pikiran banyak orang. Wong ud di dalam goa kok masih aja digangguin toh, mas..mas..? You'll never walk alone, mas.",utama,detik
Hendro Wibowo,Kesempatan dapat piala tahun ini pun sirna ,utama,detik
Nath Serenade,"Dihina tidak tumbang, Dipuji tidak pantes",utama,detik
MUBadut Berprestasi,Nath Serenade Aku jadi sedih...hik hik hik.,balasan,detik
Black Mamba,semiskin itu mu???? astagaaaa,utama,kompas
Ivan Rinaldi,anda yang miskin,balasan,kompas
dani interlude,tujuan utamanya khan emang cari cuan. bukan cari menang.,utama,kompas
Dodo Supiadi,"namanya juga pertandingan hiburan; yang penting penonton happy & mu dapat banyak uang serta merchardise mu tetap laku keras di kawasan asean. berapapun skornya, itu tidak penting.",utama,kompas
Erwin CokiPrihananto,"ada kala nya diatas, ada kalanya dibawah,, anda2 ngapain ngeledek ??",utama,kompas
NKRI,mu sejak dulu gak ada apa-apanya,utama,kompas
Ivan Rinaldi,sejak dulu kapan?? coba anda jelaskan,balasan,kompas
tedi,mu lg terjangkit dna kalah..,utama,kompas
Rio,badut,utama,kompas
