User,Comment,Source,clean_text
rais.bae1,lawan Asean all star aja kalah wkwkw btw kakang rudianto mainnya bagus 🗿😭,tiktok_1,lawan asean all star aja kalah wkwkw btw kakang rudianto mainnya bagus
falzxd,level MU sekarang liga BRI😹,tiktok_1,level mu sekarang liga bri
akun.shopee707,"hahah, di liga sering kalah, lawan tim asean jugak kalahhh😂😂😂,",tiktok_1,hahah di liga sering kalah lawan tim asean jugak kalahhh
culerss227,bahkan sekelas asean all star pun menang melawan mu,tiktok_1,bahkan sekelas asean all star pun menang melawan mu
ygs_31,jauh' ke malaysia cuma buat kalah🤣😭,tiktok_1,jauh ke malaysia cuma buat kalah
dikzzzz566,itu aja belum ada pemain Indonesia🤭,tiktok_1,itu aja belum ada pemain indonesia
leoboys203,sumpah bingung gua mau alesan apa lagi😫,tiktok_1,sumpah bingung gua mau alesan apa lagi
inistiawan,ini emyu kayaknya lawan antar rt pun kalah nih🥲,tiktok_1,ini emyu kayaknya lawan antar rt pun kalah nih
pakkadesdattebayo,"di hina tak tumbang, di puji tidak pantas😂🗿",tiktok_1,di hina tak tumbang di puji tidak pantas
rendo.aisu,mending ganti aja tu emyu jadi club malam 😹,tiktok_1,mending ganti aja tu emyu jadi club malam
killer11slebew,fun match kocak ngapain di seriusin,tiktok_1,fun match kocak ngapain di seriusin
bayauww1,tidak di hina pun sudah hina(MU)🤣🤣🤣,tiktok_1,tidak di hina pun sudah hinamu
tuanmudahanawa,MU sengaja ngalah bukan kalah .,tiktok_1,mu sengaja ngalah bukan kalah
bbrax38,tapi menurut gwe MU tadi main bagus masih bisa nahan AAS cuma kebobolan 1 gol🗿,tiktok_1,tapi menurut gwe mu tadi main bagus masih bisa nahan aas cuma kebobolan gol
hbbaj444,"udah udah, MU cocok di liga 1 dah 🗿",tiktok_1,udah udah mu cocok di liga dah
gaizka77_,itu asean All star bayar ke emyu buat tim asean All star menang biar suporter Malaysia seneng,tiktok_1,itu asean all star bayar ke emyu buat tim asean all star menang biar suporter malaysia seneng
hakimi_381,"benci betul ye kau dkt Malaysia😅 Sedangkn fans MY membahan Fans M.U ,tkde pulak tgk diorg claim menang.Sapa je kisah menang atau kalah,yg org kisahkan M.U tu .Fantart",tiktok_1,benci betul ye kau dkt malaysia sedangkn fans my membahan fans mu tkde pulak tgk diorg claim menangsapa je kisah menang atau kalahyg org kisahkan mu tu fantart
pp.persib.bandung338,kenapa setiap klub yang didukung kyle kusumo selalu kalahh,tiktok_1,kenapa setiap klub yang didukung kyle kusumo selalu kalahh
sayalah401,MU suruh aja main di liga1😂,tiktok_1,mu suruh aja main di liga
merte.gen,"gpp bang, musim depan king emyu otewe tsunami trofi 😸😸",tiktok_1,gpp bang musim depan king emyu otewe tsunami trofi
andhikaprtama7910,tim baru di bentuk aja udah menang,tiktok_1,tim baru di bentuk aja udah menang
fatehmarekar,emyu ngalah bos soalnya pokus liga dangdut indonesia,tiktok_1,emyu ngalah bos soalnya pokus liga dangdut indonesia
bftrin,EMANG mu TIM BESAR?,tiktok_1,emang mu tim besar
nuelinn48,indo yg ikut kualifikasi ga ikut aja menang apalagi ikut 🗿,tiktok_1,indo yg ikut kualifikasi ga ikut aja menang apalagi ikut
sinichi_kudo188,"kakang rudianto udah 2 trofi, emyu masih 0 aja",tiktok_1,kakang rudianto udah trofi emyu masih aja
kenniekurniawan0,kakang SM Malik aja belum turun😆,tiktok_1,kakang sm malik aja belum turun
reyhanreyhanx5,"""kakang menyala🔥",,kakang menyala
